t;Demand;Demand sorted;PV output;PV output sorted;imports;imports sorted
193;7036,618280755059;8975,635086699276;0,0;8976,90836955543;0,0;2627,4798971993723
194;6806,83836634439;8974,945160008556;0,0;8972,087085078345;0,0;2627,4798971993723
195;6640,48654276571;8973,81781159973;0,0;8969,52891618661;0,0;2627,4798971993723
196;6546,628872922506;8973,583909920731;0,0;8969,208333259221;0,0;2627,4798971993723
197;6524,994287963043;8973,016763114627;0,0;8968,172461902212;127,47989719937232;2627,4798971993723
198;6694,549678779072;8972,163283975024;0,0;8966,469158589794;627,4798971993723;2627,4798971993723
199;7135,776260053656;8972,085080467883;1293,4711104844203;8958,687564671745;1127,4798971993723;2627,4798971993723
200;7564,077526543107;8968,408794455756;2985,722668067472;8956,28904611016;1627,4798971993723;2627,4798971993723
201;8153,049872271884;8966,566718337313;4329,571940620744;8955,915699040064;2127,4798971993723;2627,4798971993723
202;8499,340742661894;8965,580837157937;5072,199961460935;8955,875015179847;2627,4798971993723;2627,4798971993723
203;8714,735541480053;8965,440424105116;5429,300907173804;8941,072740745396;2627,4798971993723;2627,4798971993723
204;8738,694938103581;8964,943309739025;5531,186713888216;8938,423399076162;2627,4798971993723;2627,4798971993723
205;8636,965161550328;8964,631029004673;5198,333733348075;8937,839613347984;2627,4798971993723;2627,4798971993723
206;8720,94987109344;8964,590554556964;4102,084814435099;8937,153777956704;2627,4798971993723;2627,4798971993723
207;8790,58239694489;8964,286911944013;2361,076260821097;8935,949607291961;2627,4798971993723;2627,4798971993723
208;8780,025549352029;8964,239750059336;1157,0493976368966;8935,516348426865;2186,130945017828;2627,4798971993723
209;8796,159766767028;8963,647062747723;68,14794485497613;8934,617727716884;1686,1309450178278;2627,4798971993723
210;8650,010181825955;8963,474123091617;0,0;8932,959563879216;1186,1309450178278;2627,4798971993723
211;8361,260476397727;8963,302695075321;0,0;8931,592501756297;686,1309450178278;2627,4798971993723
212;8337,764325964525;8963,000670284311;0,0;8929,564472709159;186,1309450178278;2627,4798971993723
213;8294,410363514864;8962,28985207892;0,0;8927,64523484388;0,0;2627,4798971993723
214;8189,6748662164255;8961,621510694546;0,0;8926,382114477981;0,0;2627,4798971993723
215;7832,515437024615;8961,585845939688;0,0;8925,128082485882;0,0;2627,4798971993723
216;7446,090212342008;8961,115016170192;0,0;8924,990581028245;0,0;2627,4798971993723
217;7064,694977909944;8959,924031431206;0,0;8923,301605773933;0,0;2627,4798971993723
218;6816,753242632998;8959,739147080438;0,0;8921,847871707343;0,0;2627,4798971993723
219;6677,440375213806;8959,493631419078;0,0;8917,231294285093;0,0;2627,4798971993723
220;6526,854234372983;8959,085676186;0,0;8913,705186259496;0,0;2627,4798971993723
221;6483,133514599746;8959,024640699818;0,0;8912,02400280619;500,0;2627,4798971993723
222;6644,827866802129;8958,934208319472;0,0;8911,22542642482;1000,0;2627,4798971993723
223;7073,5007726481235;8958,568111750652;1242,3086038994045;8909,965628989208;1500,0;2627,4798971993723
224;7492,166512357769;8958,138392578738;3328,428560726228;8908,924610125358;2000,0;2627,4798971993723
225;8115,796690484943;8956,957755360323;5092,463190127751;8904,135432556213;2500,0;2627,4798971993723
226;8503,383054245149;8956,892706884231;6318,8345137656315;8903,6541154858;2627,4798971993723;2627,4798971993723
227;8688,267428859375;8955,586055235255;7067,784913019133;8901,20596230562;2627,4798971993723;2627,4798971993723
228;8684,974349707862;8955,326394552583;7195,641423686616;8901,035883250575;2627,4798971993723;2627,4798971993723
229;8548,989984035881;8954,470154609024;6546,970011299078;8900,16194825521;2627,4798971993723;2627,4798971993723
230;8629,42927442607;8953,74871422122;5250,561983572863;8899,632012300277;2627,4798971993723;2627,4798971993723
231;8680,504899090112;8953,670087018356;3655,4010268076713;8899,50701993673;2627,4798971993723;2627,4798971993723
232;8673,709169806541;8952,946808171928;1599,3535401097915;8895,720449325681;2627,4798971993723;2627,4798971993723
233;8696,808347676064;8952,210850601856;153,05766327566224;8894,69119435659;2289,303359274801;2627,4798971993723
234;8563,094564550522;8950,478355588508;0,0;8893,510627613781;2169,6490389787637;2627,4798971993723
235;8314,426767662604;8949,760348209677;0,0;8893,361671474682;1770,215483329209;2627,4798971993723
236;8313,514796573745;8949,450115760275;0,0;8893,120431410483;1270,215483329209;2627,4798971993723
237;8251,741997281451;8948,2051860088;0,0;8892,4805898351;770,2154833292091;2627,4798971993723
238;8174,575184999891;8947,799142283791;0,0;8886,606291432385;270,21548332920906;2627,4798971993723
239;7838,56392485553;8947,631064385158;0,0;8884,678197469206;0,0;2627,4798971993723
240;7480,652223444691;8947,596094316123;0,0;8883,973968209408;0,0;2627,4798971993723
241;7124,8922702256905;8947,38253003921;0,0;8883,529114664942;0,0;2627,4798971993723
242;6896,097545053612;8946,405590122034;0,0;8883,334697308303;0,0;2627,4798971993723
243;6731,406345944106;8946,367763057677;0,0;8883,303244100634;0,0;2627,4798971993723
244;6629,416842215617;8946,090445427562;0,0;8882,96823456517;0,0;2627,4798971993723
245;6586,148573651664;8945,355893608265;0,0;8881,970554756446;222,51511416271387;2627,4798971993723
246;6723,985654112565;8944,74036990545;0,0;8875,378819109312;722,5151141627139;2627,4798971993723
247;7126,84455634385;8944,681457721032;920,1114444474126;8869,151354721102;1222,5151141627139;2627,4798971993723
248;7566,044128133182;8943,706018601059;2203,3816888389133;8868,83025159388;1722,5151141627139;2627,4798971993723
249;8133,2350919782675;8942,844217336211;3504,1737410518613;8866,580410876395;2222,515114162714;2627,4798971993723
250;8466,960663425318;8942,688991298992;4504,917277400971;8864,864790624451;2627,4798971993723;2627,4798971993723
251;8638,828955883673;8941,882211826009;5274,096855152405;8863,380492600467;2627,4798971993723;2627,4798971993723
252;8649,767974922279;8941,856770708979;5657,551116269819;8863,049793177172;2627,4798971993723;2627,4798971993723
253;8552,218236933277;8941,502793819402;4572,477943289234;8862,829442376347;2627,4798971993723;2627,4798971993723
254;8661,427453903674;8941,415588190359;3266,5608337972803;8862,792559582555;2627,4798971993723;2627,4798971993723
255;8766,720384202585;8941,20892609138;1963,8121835439297;8859,672975933127;2325,905312091665;2627,4798971993723
256;8703,328482261675;8940,852876243793;1076,9656395855234;8859,432592737438;1825,9053120916649;2627,4798971993723
257;8662,937494992244;8940,65813249956;118,58195600127056;8854,889055959906;1325,9053120916649;2627,4798971993723
258;8491,653882446659;8938,708596567092;0,0;8854,471483487669;825,9053120916649;2627,4798971993723
259;8217,880233722663;8937,664253707588;0,0;8850,082193950015;325,9053120916649;2627,4798971993723
260;8171,540119652349;8937,293506892545;0,0;8848,249717807777;0,0;2627,4798971993723
261;8095,389760461199;8937,054460175406;0,0;8835,469564153971;0,0;2627,4798971993723
262;7997,488116333778;8936,375024881918;0,0;8830,61371592837;0,0;2627,4798971993723
263;7694,872719960677;8935,543411871175;0,0;8827,963075033547;0,0;2627,4798971993723
264;7421,599420201385;8935,346211826387;0,0;8825,212979489834;0,0;2627,4798971993723
265;7090,74504658592;8935,33047334489;0,0;8824,984607401902;0,0;2627,4798971993723
266;6849,311132170643;8935,140302954076;0,0;8824,316604598436;0,0;2627,4798971993723
267;6689,230317928791;8934,235624818462;0,0;8824,120095524848;0,0;2627,4798971993723
268;6550,303251089681;8933,975731941282;0,0;8823,608239442008;0,0;2627,4798971993723
269;6485,877432924723;8931,234670403535;0,0;8822,78327141747;127,47989719937232;2627,4798971993723
270;6522,560165984309;8931,200866639247;0,0;8819,189657685421;627,4798971993723;2627,4798971993723
271;6712,866224078477;8928,455769486902;1305,5904299231506;8817,509665714244;1127,4798971993723;2627,4798971993723
272;6926,859334061251;8927,44870121758;3215,9555150347155;8816,52667025241;1627,4798971993723;2627,4798971993723
273;7393,160671615741;8927,334516881701;4466,706066278645;8816,08892153435;2127,4798971993723;2627,4798971993723
274;7770,845514745025;8927,005023402158;6049,250327184575;8815,251840185561;2627,4798971993723;2627,4798971993723
275;8000,67637383738;8926,452708841525;6961,5619797870795;8815,0574259245;2627,4798971993723;2627,4798971993723
276;8019,588038523337;8926,20560989439;6853,123447142608;8814,073053154989;2627,4798971993723;2627,4798971993723
277;7916,189474648062;8925,941267831215;5825,7405174182695;8813,326378667105;2627,4798971993723;2627,4798971993723
278;7869,497544656803;8925,724046964322;4807,654596482533;8812,777908931936;2627,4798971993723;2627,4798971993723
279;7874,6687366806955;8925,689348987451;3275,345331258273;8809,992459445843;2627,4798971993723;2627,4798971993723
280;7833,6761453480785;8925,579510649522;1514,8955711324531;8808,677145254045;2627,4798971993723;2627,4798971993723
281;7793,301095161253;8925,55801460261;157,47837183995964;8806,430622713984;2292,7592912887067;2627,4798971993723
282;7715,458680706251;8925,430569388322;0,0;8804,623836196914;1952,2354648285386;2627,4798971993723
283;7678,740202027779;8925,283909929418;0,0;8802,999863060768;1452,2354648285386;2627,4798971993723
284;7760,3468135562325;8925,10563962336;0,0;8801,884764987397;952,2354648285385;2627,4798971993723
285;7806,225910978152;8924,33429125226;0,0;8798,224548003136;452,2354648285385;2627,4798971993723
286;7781,9641085238845;8923,40963549863;0,0;8796,105452311609;0,0;2627,4798971993723
287;7581,682401744425;8923,092284831506;0,0;8795,182425890804;0,0;2627,4798971993723
288;7343,663699672334;8922,517335934077;0,0;8794,283544366048;0,0;2627,4798971993723
